Financial Year,Material Type,Material Name,Source Sector,Disposal,International Export,Interstate Export,Recoverd locally (including Waste to Energy),Total Generation
2015-2016,Organics,Garden organics,CND,20562.723351,0.0,0.0,0.0,20562.723351
2015-2016,Organics,Garden organics,CNI,58725.95574,0.0,0.0,185594.76,244320.71574
2015-2016,Organics,Garden organics,MSW,100822.201398,0.0,0.0,266803.77,367625.971398
2015-2016,Organics,Other organics,CND,499.396529,0.0,0.0,0.0,499.396529
2015-2016,Organics,Other organics,CNI,28989.043639,0.0,0.0,82941.0,111930.043639
2015-2016,Organics,Other organics,MSW,100564.918193,0.0,0.0,12979.0,113543.918193
2015-2016,Organics,Wood /timber,CND,112139.042013,0.0,0.0,70578.0,182717.042013
2015-2016,Organics,Wood /timber,CNI,226462.791621,0.0,0.0,109853.65,336316.441621
2015-2016,Organics,Wood /timber,MSW,28139.899486,0.0,0.0,23278.75,51418.649486
2015-2016,Paper and cardboard,Cardboard,CND,4106.298248,11272.5,0.0,257.0,15635.798248
2015-2016,Paper and cardboard,Cardboard,CNI,75533.763785,202905.0,0.0,514547.53,792986.293785
2015-2016,Paper and cardboard,Cardboard,MSW,36960.265132,11272.5,0.0,1158.95,49391.715132
2015-2016,Paper and cardboard,Liquidpaperboard,CND,509.827768,0.0,0.0,0.0,509.827768
2015-2016,Paper and cardboard,Liquidpaperboard,CNI,27284.287691,0.0,0.0,0.0,27284.287691
2015-2016,Paper and cardboard,Liquidpaperboard,MSW,28062.926012,0.0,0.0,0.0,28062.926012
2015-2016,Paper and cardboard,Newsprint and magazines,CND,0.0,6561.6,0.0,0.0,6561.6
2015-2016,Paper and cardboard,Newsprint and magazines,CNI,0.0,91862.4,0.0,30186.0,122048.4
2015-2016,Paper and cardboard,Newsprint and magazines,MSW,0.0,32808.0,0.0,0.0,32808.0
2015-2016,Paper and cardboard,Other paper,CND,1555.089622,43.51594,0.0,0.0,1598.605562
2015-2016,Paper and cardboard,Other paper,CNI,81452.146249,220504.428922,0.0,11074.0,313030.575171
2015-2016,Paper and cardboard,Other paper,MSW,126278.651432,115367.055138,0.0,127137.0,368782.70657
2015-2016,Paper and cardboard,Printing and writing paper,CND,1588.981401,0.0,0.0,0.0,1588.981401
2015-2016,Paper and cardboard,Printing and writing paper,CNI,78310.756766,27374.0,0.0,173023.0,278707.756766
2015-2016,Paper and cardboard,Printing and writing paper,MSW,84301.280951,0.0,0.0,0.0,84301.280951
2015-2016,Plastic,HDPE (2),CND,4156.095214,1138.90485,67.2042516562407,555.892754,5918.09706965624
2015-2016,Plastic,HDPE (2),CNI,51922.354965,6871.392595,438.877103256675,2635.102116,61867.7267792567
2015-2016,Plastic,HDPE (2),MSW,71837.248823,29953.197555,1418.41864508708,4737.111623,107945.976646087
2015-2016,Plastic,LDPE (4),CND,3112.724031,0.0,1.57809045414318,22.550277,3136.85239845414
2015-2016,Plastic,LDPE (4),CNI,38887.454137,14715.825,362.666320606682,317.462627,54283.4080846067
2015-2016,Plastic,LDPE (4),MSW,34264.750149,4905.275,393.255588939175,10984.896129,50548.1768669392
2015-2016,Plastic,Other plastics (7),CND,2228.454052,0.0,0.0,0.0,2228.454052
2015-2016,Plastic,Other plastics (7),CNI,29175.147655,1667.673552,20.0,540.488177,31403.309384
2015-2016,Plastic,Other plastics (7),MSW,84717.635108,37.266448,0.0,227.700012,84982.601568
2015-2016,Plastic,PET (1),CND,1721.562452,0.0,0.0,0.0,1721.562452
2015-2016,Plastic,PET (1),CNI,21507.586366,898.0944,251.304840983863,78.154585,22735.1401919839
2015-2016,Plastic,PET (1),MSW,47936.570403,29038.3856,2890.00567131443,1552.430148,81417.3918223144
2015-2016,Plastic,PP (5),CND,3338.787787,0.0,0.0,0.0,3338.787787
2015-2016,Plastic,PP (5),CNI,41711.68265,9732.365833,439.3,389.511658,52272.860141
2015-2016,Plastic,PP (5),MSW,36753.251557,4759.624167,515.7,6859.05623,48887.631954
2015-2016,Plastic,PS (6),CND,869.475986,723.756875,37.8721477355443,114.956696,1746.06170473554
2015-2016,Plastic,PS (6),CNI,10862.417357,1899.861797,119.545062003417,544.697769,13426.5219850034
2015-2016,Plastic,PS (6),MSW,9571.159259,3166.436328,188.582790261038,409.57688,13335.755257261
2015-2016,Plastic,PVC (3),CND,2191.079485,122.754483,0.0,88.334684,2402.168652
2015-2016,Plastic,PVC (3),CNI,27373.291739,1104.790345,0.0,790.802108,29268.884192
2015-2016,Plastic,PVC (3),MSW,24119.321334,552.395172,0.0,492.513874,25164.23038
2015-2016,Textiles,Clothing,CND,3520.131635,0.0,0.0,0.0,3520.131635
2015-2016,Textiles,Clothing,CNI,36452.14627,0.0,0.0,0.0,36452.14627
2015-2016,Textiles,Clothing,MSW,62597.868319,49810.0,0.0,0.0,112407.868319
2015-2016,Textiles,Other textiles,CND,6274.528236,0.0,0.0,6250.0,12524.528236
2015-2016,Textiles,Other textiles,CNI,55989.768308,166.564001,0.0,3175.6,59331.932309
2015-2016,Textiles,Other textiles,MSW,20497.818997,2.435999,0.0,15319.0,35819.254996
2015-2016,Tyres and rubber,Offroad tyres,CND,0.0,0.0,0.0,10.0,10.0
2015-2016,Tyres and rubber,Offroad tyres,CNI,0.0,5691.0,0.0,1947.0,7638.0
2015-2016,Tyres and rubber,Offroad tyres,MSW,0.0,0.0,0.0,56.0,56.0
2015-2016,Tyres and rubber,Other rubber,CND,170.428428,0.0,0.0,6250.0,6420.428428
2015-2016,Tyres and rubber,Other rubber,CNI,7839.113547,1591.464141,0.0,3125.0,12555.577688
2015-2016,Tyres and rubber,Other rubber,MSW,2459.28111,192.535859,0.0,15000.0,17651.816969
2015-2016,Tyres and rubber,Passenger tyres,CND,122.232559,0.0,0.0,250.0,372.232559
2015-2016,Tyres and rubber,Passenger tyres,CNI,853.301311,12211.129081,0.0,17306.0,30370.430392
2015-2016,Tyres and rubber,Passenger tyres,MSW,0.0,2535.870919,0.0,1324.0,3859.870919
2015-2016,Tyres and rubber,Truck tyres,CND,0.0,0.0,0.0,140.0,140.0
2015-2016,Tyres and rubber,Truck tyres,CNI,0.0,6.0,0.0,20944.0,20950.0
2015-2016,Tyres and rubber,Truck tyres,MSW,0.0,0.0,0.0,250.0,250.0
2016-2017,"Aggregate, masonry and soils",Asphalt,CND,953.206399,0.0,0.0,755452.0,756405.206399
2016-2017,"Aggregate, masonry and soils",Asphalt,CNI,2966.316106,0.0,0.0,0.0,2966.316106
2016-2017,"Aggregate, masonry and soils",Asphalt,MSW,765.343918,0.0,0.0,2000.0,2765.343918
2016-2017,"Aggregate, masonry and soils",Bricks,CND,26948.011431,0.0,0.0,584157.0,611105.011431
2016-2017,"Aggregate, masonry and soils",Bricks,CNI,25403.064809,0.0,0.0,0.0,25403.064809
2016-2017,"Aggregate, masonry and soils",Bricks,MSW,50270.549126,0.0,0.0,2000.0,52270.549126
2016-2017,"Aggregate, masonry and soils",Concrete,CND,24513.270361,0.0,0.0,2227056.0,2251569.270361
2016-2017,"Aggregate, masonry and soils",Concrete,CNI,30015.626861,0.0,0.0,5909.0,35924.626861
2016-2017,"Aggregate, masonry and soils",Concrete,MSW,408.144314,0.0,0.0,30000.0,30408.144314
